Funder;Info;Contact;Tags
Humanity United;"""Humanity United believes that we are all united in the challenges and opportunities we face. To that end, we lead and invest in a wide-range of efforts, networks, organizations and ideas that share our vision of the world. Our partners work with us to build peace, promote justice, end atrocities and advance human freedom.""";https://humanityunited.org/;
Icelandic Research Fund;"""The Icelandic Research Fund (IRF) is an open competitive fund which provides research grants according the general priorities of the Science and technology policy council and based on peer review of proposals. [...] Principal Investigators (PIs) must have completed their graduate studies at an internationally accredited university and have experience in running research projects.""";https://en.rannis.is/funding/research/icelandic-research-fund/;iceland
IHRFG Funder Directory;"""This tool is designed to enable both grantmakers and grantseekers to search for human rights funders by several key criteria: areas of rights funding, activities supported and geographic focus.""";https://ihrfg.org/funder-directory;
IIS Internet Fund;"""IIS finances independent, noncommercial projects that promote internet development in Sweden through the Internet Fund. Since its launch in 2004, the fund has financed more than 300 projects. Private individuals and organizations are welcome to apply for financing.""";https://www.internetfonden.se/;sweden
Indigo Trust;"""At Indigo Trust, we believe that the best solutions to a country’s challenges are likely to be devised locally.  We see an important role for technology innovation hubs in supporting local technology driven innovation.""";https://indigotrust.org.uk/;united-kingdom
Information Safety & Capacity Project;"""The Information Safety & Capacity Project (ISC) provides advanced, sustained information security and capacity building assistance to civil society organizations, human rights activists, and independent media in countries where free expression, journalistic reporting, online communications, and advocacy are critical to societal liberalization and development but potentially risky to personal safety.""";https://iscproject.org/who-we-are/;
International Development Exchange;"""IDEX invests in initiatives led by the women, youth, and indigenous people who are solving our world's most pressing problems. Supporting grassroots leaders in the Global South creates lasting, transformative change ....""";http://www.idex.org/;
International Development Research Center;"""From research ideas to large-scale impact, the developing-country researchers we fund are building healthier, stronger, and more equitable societies.""";https://www.idrc.ca/;canada
Internet Foundation Austria / netidee;"Funding for innovative ideas and research around Internet & Open Source in Austria: ""Es wartet eine Million Euro auf innovative Projektideen und wissenschaftliche Abschlussarbeiten. Zusätzlich winken zweimal 3.000 Euro Sonderpreis in den Kategorien „Internet of Things“ und „Internet for Refugees“.“";https://www.netidee.at/;austria,software,open-source
internetsociety.org;"""The Internet Society is a global cause-driven organization dedicated to ensuring that the Internet stays open, transparent and defined by you.""";http://www.internetsociety.org;
John D. and Catherine T. MacArthur Foundation;"""The John D. and Catherine T. MacArthur Foundation supports creative people, effective institutions, and influential networks building a more just, verdant, and peaceful world.""";https://www.macfound.org;
John Hunter Technology Fellowship;"""The John Hunter Technology Fellowship aims to bridge the gap between academia and real-world, open-source scientific computing projects by providing a capstone experience for individuals coming from a scientific educational background.""";https://www.numfocus.org/programs/john-hunter-technology-fellowship/;software,open-source
Joseph Rowntree Charitable Trust;"""The Joseph Rowntree Charitable Trust (JRCT) is a Quaker trust which seeks to transform the world by supporting people who address the root causes of conflict and injustice. This support is provided, primarily, through funding applied for by applicants.""";http://www.jrct.org.uk/about-us;united-kingdom
Karl Schlecht Stiftung;"""Die Karl Schlecht Stiftung ist eine gemeinnützige Stiftung mit Fokus auf ""Good Leadership"". Ihre Leitidee ist die Verbesserung von Führung in Business, Gesellschaft und Politik durch humanistische Werte. Vor diesem Hintergrund unterstützt sie Projekte der Wissenschaft und Bildung, die zur werteorientierten Persönlichkeitsentwicklung von jungen Menschen und angehenden Führungskräften beitragen.""";http://www.ksfn.de/;germany
Kindle Project;"""Kindle Project is an outside-the-box grantmaking organization supporting wild solutions, by unusual suspects, in the attempt to move mountains.""";https://kindleproject.org/;
Klaus Tschira Stiftung;"""Die Klaus Tschira Stiftung fördert Naturwissenschaften, Mathematik und Informatik sowie die Wertschätzung für diese Fächer.""";http://www.klaus-tschira-stiftung.de/foerderprofil.php;germany
Knight Foundation;"""Knight Foundation supports transformational ideas that promote quality journalism, advance media innovation, engage communities and foster the arts. We believe that democracy thrives when people and communities are informed and engaged.""";http://www.knightfoundation.org/;
Knight-Mozilla Fellowship;"""The Knight-Mozilla Fellowship places creative technologists in newsrooms to work on open-source tools and support reporting that strengthens the web and changes people's lives.""";https://opennews.org/what/fellowships/;software,open-source
Konrad Adenauer Stiftung;"""At home as well as abroad, our civic education programs aim at promoting freedom and liberty, peace, and justice. We focus on consolidating democracy, the unification of Europe and the strengthening of transatlantic relations, as well as on development cooperation.""";http://www.kas.de/wf/en/;germany
Kurt-Pauli-Stiftung;"""Stiftungszweck ist die Förderung begabter und motivierter junger Menschen im Bereich der Informationstechnologie. Das Lebenswerk von Konrad Zuse und des Stifters haben dabei Vorbildcharakter.""";http://www.kurt-pauli-stiftung.de/;germany
Linux Foundation;"""The Linux Foundation protects and promotes the ideals of freedom and generous collaboration established through the development of Linux, and shares these ideals to power any endeavor aiming to make the future a better place in which to live.""";http://www.linuxfoundation.org/;open-source
Linux Fund;"""provides financial and administrative support to the open source community""";http://linuxfund.org/;
matter.vc;"""We support media entrepreneurs building a more informed, connected, and empowered society through our start-up accelerator in San Francisco and New York City.""";http://matter.vc/;saint-vincent-and-the-grenadines
Media Democracy Fund;"""MDF works with foundations, companies, philanthropic advisors, and individual donors to award grants that protect the public's rights in the digital age.""";http://mediademocracyfund.org/about-mdf/;
Media Development Investment Fund;"""MDIF invests in independent media around the world providing the news, information and debate that people need to build free, thriving societies.""";http://www.mdif.org/apply-for-financing/;
Microsoft Affordable Access Initiative;"""Brilliant people like you are deploying technology and business models to help billions of people affordably engage online, and we want to help. Under our Affordable Access Initiative, Microsoft is providing grants to commercial entities for scalable solutions that enable people in underserved communities to access the Internet and use cloud services.""";https://www.microsoft.com/en-us/affordable-access-initiative/home;
Ministry of Foreign Affairs Finland;"""The Ministry for Foreign Affairs can allocate development cooperation funds to international non-governmental organizations (INGOs) whose activities are in line with Finland's development policy priorities and goals.""";http://formin.finland.fi/english;finland
Mozilla Advocacy Network Fund;"""Mozilla believes the Internet to be a global, public resource that must remain open and available to everyone. This shared openness is essential to a healthy and innovative society. The rapid growth of the Internet creates challenges and opportunities in every area of contemporary life, from health and education to economic development and political engagement, civic life, and more. Mozilla’s Advocacy Network Fund is designed to provide funds to organizations to help them tackle these challenges.""";https://wiki.mozilla.org/Netpolicy/advocacy/advocacynetworkfund;
Mozilla Open Source Support (MOSS);"""an awards program specifically focused on supporting the Open Source and Free Software movement""";https://wiki.mozilla.org/MOSS;software,open-source
National Endowment for Democracy;"""a private, nonprofit foundation dedicated to the growth and strengthening of democratic institutions around the world.""";http://www.ned.org/;
National Strategy for Trusted Identities in Cyberspace;"""Helping individuals and organizations utilize secure, efficient, easy-to-use and interoperable identity credentials to access online services in a manner that promotes confidence, privacy, choice and innovation.""";http://www.nist.gov/nstic/;united-states
Nemetschek Stiftung;"""Die Nemetschek Stiftung will durch ihre Arbeit die Demokratie in Deutschland stärken, als Regierungsform, aber auch in einem umfassenderen Verständnis als Lebens- und Gesellschaftsmodell.""";http://www.nemetschek-stiftung.de/;germany
Nexus Fund;"""Our mission is to strengthen the global community in preventing mass atrocities by finding and funding local efforts in areas where there are significant risks of mass violence but still opportunity for prevention.""";http://www.nexus-fund.org/about/;
NLnet Foundation;"""Since 1997 NLnet foundation has been financially supporting organizations and people that contribute to an open information society. It funds those with ideas to fix the internet. The procedure is fast, competitive and open to anyone.""";https://www.nlnet.nl/;netherlands
NLnet Foundation – List of Funding Resources;Nlnet Foundation also maintains a list of alternative  sources of support.;https://nlnet.nl/foundation/network.html;netherlands
Nominet Trust;"""As the UK's leading social tech funder, we bring together, invest in and support people making imaginative use of technology to address complex social challenges.""";http://www.nominettrust.org.uk/;united-kingdom
Nordic Co-operation's Funding List;"""The list mainly contains funding schemes and calls from the Nordic Council, the Nordic Council of Ministers and the council of ministers' sub-organisations, but also other funding schemes with a focus on Nordic co-operation."" Includes programs on ICT and Justice.";https://www.norden.org/en/om-samarbejdet-1/funding-schemes-and-scholarships;
Norwegian Agency for Development Cooperation;"""Norad grants funding to organisations within civil society, research, higher education and private sector development that work with partners in poor countries.""";https://www.norad.no/en/front/funding/;norway
Oak Foundation;"""Oak Foundation commits its resources to address issues of global, social and environmental concern, particularly those that have a major impact on the lives of the disadvantaged.""";http://oakfnd.org/;
Omidyar Network;"""Omidyar Network invests in entrepreneurs who share our commitment to advancing social good at the pace and scale the world needs today. """;https://www.omidyar.com;
Open Society Foundations;"""The Open Society Foundations award grants, scholarships, and fellowships throughout the year to organizations and individuals who share Open Society values. We look for grantees who have a vision and whose efforts will lead to lasting social change.""";https://www.opensocietyfoundations.org/grants;
Open Technology Fund (OTF);"""support projects and people working on open and accessible technology-centric projects that promote human rights, internet freedom, open societies, and help advance inclusive and safe access to global communications networks""";https://www.opentech.fund/;
OpenHatch Opportunities Wiki;This page is a list of financially supported opportunities (usually internships) for people (usually students) to work on free/open source projects.;http://wiki.openhatch.org/Opportunities;open-source
OpenNews;"""At OpenNews, we are building an ecosystem of programs and tools in support of the global community of journalists and coders who are creating the open technologies and processes journalism needs to thrive.""";https://opennews.org/what/;
Otto Benecke Stiftung e.V.;"""Der Verein fördert im In- und Ausland insbesondere Maßnahmen der politischen und interkulturellen Bildung, der Jugend- und Sozialarbeit, der Erwachsenenbildung sowie der schulischen, außerschulischen und beruflichen Qualifizierung.""";http://www.obs-ev.de/;germany
Outlandish Fellowships;"""Outlandish is making fellowships available for people who are using the Internet and digital technologies to address social issues. The fellowships include funding and other forms of support to allow participants to start their own projects.""";http://www.outlandish.com/fellowship/;
Outreachy Internships;"""Outreachy helps people from groups underrepresented in free and open source software get involved. We provide a supportive community for beginning to contribute any time throughout the year and offer focused internship opportunities twice a year with a number of free software organizations.""";https://www.gnome.org/outreachy/;software,open-source
Overbrook Foundation;"""The Overbrook Foundation was established in New York in 1948 by Helen and Frank Altschul. The Foundation currently advances its mission through two programs: Environment and Human Rights.  Both programs support organizations in the United States and Latin America.""";http://www.overbrook.org/;
Partnership for Transparency Fund;"""Advancing innovative citizen-led approaches to improve governance, increase transparency, promote the rule of law and reduce corruption in developing and emerging countries.""";http://ptfund.org/;
PHINEO;"""We make recommendations to social investors about non profit organisations and projects that suit their philanthropic plans. To do this, we identify projects with especially strong potential to bring about social change. We start with a quality assessment process that we developed with experts in the field, identifying sectors to focus on and closely scrutinizing relevant non-profit organisations and their projects. When we find an approach that we feel is especially promising, we award it with the PHINEO impact-label.""";https://www.phineo.org/english;
Prototype Fund;"""The Prototype fund supports the implementation of ideas in civic tech, data literacy, data security and software infrastructure. With a grant of up to €30,000, software developers, hackers and creatives can write code and develop open source prototypes over a period of six months.""";http://prototypefund.de/?lang=en;germany,software,open-source
Rails Girls Summer of Code;"""Rails Girls Summer of Code is about helping students to further expand their knowledge and skills by contributing to a great Open Source project (rather than producing highly sophisticated code).""";http://railsgirlssummerofcode.org/;
RIPE NCC Community Projects Fund;"""to support projects of value to the operation and resilience of the Internet""";https://www.ripe.net/support/cpf;
Rita Allen Foundation;"""We invest in big ideas in science and civil society. We support discoveries in their earliest stages that will ultimately improve human health, democracy and understanding. We seek out curiosity, collaboration, leadership and courage, knowing that the first steps in solving complex problems are steps into the unknown—and they are rarely taken alone.""";http://ritaallen.org;
Rosa Luxemburg Stiftung;"""The Rosa Luxemburg Foundation is one of the largest political education institutions in Germany today and sees itself as part of the intellectual current of democratic socialism.""";http://www.rosalux.de/english/foundation.html;germany
Segment Open Fellowship;"""The Fellowship is a three month long program supporting three to five open-source developers with $8k per month to focus full-time on their project, no other strings attached.

Since the very beginning, open-source has played a critical role in Segment’s journey. As we’ve grown, we’ve continued to try and create useful tools and utilities that we open source to continue giving back to the community that gave us our start. As Segment scales, we’d like to continue scaling our support for the open-source community even beyond our internal needs.""";https://segment.com/blog/segment-open-fellowship-2017/;software,open-source
Shuttleworth Foundation;"""We would like to live in an open knowledge society
with limitless possibilities for all. To help us get there, we identify amazing people with innovative ideas, give them a fellowship grant, and multiply the money they put into their own project by a factor of ten or more.""";https://shuttleworthfoundation.org/about/;
Sigrid Rausing Trust;"""The Sigrid Rausing Trust is a UK grant making foundation, founded in 1995 by Sigrid Rausing to support human rights globally.""";https://www.sigrid-rausing-trust.org/;
Skoll Global Threats Fund;"""The Skoll Global Threats Fund's mission is to confront global threats imperiling humanity by seeking solutions, strengthening alliances, and spurring actions needed to safeguard the future.""";http://www.skollglobalthreats.org/;
STEP Travel Grants by European Cultural Foundation;"""STEP travel grants support creative and critical artists and cultural change-makers travelling across Europe and its neighbours, to help foster a society with greater solidarity, participation, equality and a stronger sense of social justice. [...] We support culturally active and engaged individuals for international return travels within Europe or to/from its neighbouring countries to a partner organisation for a professional cultural collaboration that serves a wider community.""";http://ecflabs.org/grants/stepbeyond;
Stiftung Begabtenförderung berufliche Bildung;"""Die Stiftung Begabtenförderung berufliche Bildung - Gemeinnützige Gesellschaft mbH (SBB) betreut im Auftrag und mit Mitteln des Bundesministeriums für Bildung und Forschung zwei Stipendienprogramme: das Weiterbildungsstipendium und das Aufstiegsstipendium. Gesellschafter der SBB sind der Deutsche Industrie- und Handelskammertag, der Deutsche Handwerkskammertag und der Bundesverband der Freien Berufe.""";https://www.sbb-stipendien.de/sbb.html;germany
Stiftung bridge;"""Die Stiftung bridge engagiert sich für Bürgerrechte in der digitalen Gesellschaft.""";http://www.stiftung-bridge.de/;germany
Stiftung der Deutschen Wirtschaft;"""Unsere Vision ist eine Gesellschaft, in der alle jungen Menschen ihr Potenzial ausschöpfen können. Wir fördern über 4.000 Schülerinnen und Schüler, Auszubildende, Studierende und Promovierende.""";https://www.sdw.org/home;germany
Stiftung Forum für Verantwortung;"""Die Stiftung widmet sich auf wissenschaftlicher Basis Grundfragen des Lebens sowie großen gesellschaftlichen Herausforderungen. Bei den vielfältigen Bildungsaktivitäten legen wir besonderen Wert darauf, dass renommierte Wissenschaftler ihre aktuellen Forschungsergebnisse allgemeinverständlich darstellen, Handlungsoptionen aufzeigen und eine interdisziplinäre Diskussion mit dem jeweiligen Teilnehmerkreis ermöglichen.""";http://www.forum-fuer-verantwortung.de/;germany
Stiftung Mercator GmbH;"""Stiftung Mercator is an independent private foundation. We want to strengthen Europe, improve integration through equal educational opportunities for everyone, drive forward the energy transition as a trigger for global climate change mitigation and firmly anchor cultural education in schools.""";https://www.stiftung-mercator.de/en/;germany
Studienstiftung des deutschen Volkes;"""Germany’s oldest and largest organisation that sponsors outstanding students in the Federal Republic of Germany.""";http://www.studienstiftung.de/en/;germany
SUMA-Awards;"""SUMA-Awards prämieren Wege ins Web von Morgen - jenseits allmächtiger Provider und ohnmächtiger User.""";https://www.suma-awards.de/;germany
Swedish International Development Agency;"""Sida is a government agency working on behalf of the Swedish parliament and government, with the mission to reduce poverty in the world.""";http://www.sida.se/English/;sweden
The Awesome Foundation;"""The Awesome Foundation is a global community advancing the interest of awesome in the universe, $1000 at a time.""";http://www.awesomefoundation.org/en/about_us;
The Comcast Innovation Fund;"""The Comcast Innovation Fund offers funding for researchers at leading academic institutions and elsewhere to support research that is of mutual interest to Comcast and the research community. It also provides funding to support open source software development.""";http://innovationfund.comcast.com/;software,open-source
The John Ernest Foundation;"""The John Ernest Foundation's role is to turn a dream into a reality. Planting ideas, imagining unorthodox relationships, nurturing a passion, devising and auditing realistic budgets. The mission is achieved through John Ernest Fellows, who reflect a diversity and complexity of human backgrounds and come from most corners of the globe. […] We provide access predominantly, and sometimes funding.""";http://www.tjef.org/;
